Starting command dump from offset 0xe0
0x0000054b: 0x0000054c: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000054f: 0x00000550: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000553: 0x00000554: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00000557: 0x00000558: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000055b: 0x0000055e: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00000561: 0x00000562: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000565: 0x00000566: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000569: 0x0000056a: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x0000056d: 0x0000056e: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000571: 0x00000574: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00000577: 0x00000578: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000057b: 0x0000057c: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000057f: 0x00000580: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00000583: 0x00000584: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000587: 0x0000058a: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x0000058d: 0x0000058e: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000591: 0x00000592: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00000595: 0x00000596: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00000599: 0x0000059a: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000059d: 0x000005a0: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x000005a3: 0x000005a4: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000005a7: 0x000005a8: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000005ab: 0x000005ac: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000005af: 0x000005b0: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000005b3: 0x000005b6: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x000005b9: 0x000005ba: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000005bd: 0x000005be: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000005c1: 0x000005c2: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000005c5: 0x000005c6: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000005c9: 0x000005cc: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x000005cf: 0x000005d0: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000005d3: 0x000005d4: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000005d7: 0x000005d8: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000005db: 0x000005dc: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000005df: 0x000005e2: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x000005e5: 0x000005e6: 0xbc (WS Write) - Port: 0x0, Val: 0xfd
0x000005e9: 0xbc (WS Write) - Port: 0x1, Val: 0x6
0x000005ec: 0x000005ed: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000005f0: 0x000005f1: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000005f4: 0x000005f5: 0xbc (WS Write) - Port: 0x4, Val: 0x7b
0x000005f8: 0xbc (WS Write) - Port: 0x5, Val: 0x6
0x000005fb: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x000005fe: 0x000005ff: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00000602: 0x00000603: 0xbc (WS Write) - Port: 0x6, Val: 0xfd
0x00000606: 0xbc (WS Write) - Port: 0x7, Val: 0x6
0x00000609: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000060c: 0x0000060d: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000610: 0x00000613: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x00000616: 0x00000617: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000061a: 0x0000061b: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x0000061e: 0x0000061f: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x00000622: 0x00000623: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000626: 0x00000629: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x0000062c: 0x0000062d: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000630: 0x00000631: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x00000634: 0x00000635: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x00000638: 0x00000639: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000063c: 0x0000063f: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x00000642: 0x00000643: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000646: 0x00000647: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x0000064a: 0x0000064b: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x0000064e: 0x0000064f: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000652: 0x00000655: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00000658: 0x00000659: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000065c: 0x0000065d: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000660: 0x00000661: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x00000664: 0x00000665: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
